Tick,Total Creatures,Speed_SS,Speed_Ss,Speed_ss,Vision_VV,Vision_Vv,Vision_vv,Beauty_AA,Beauty_Aa,Beauty_aa,Violence_KK,Violence_Kk,Violence_kk
10120,171,49,68,54,10,48,113,48,83,40,1,24,146
10140,167,48,68,51,10,51,106,44,84,39,1,26,140
10160,162,44,69,49,10,51,101,46,76,40,1,23,138
10180,166,44,74,48,10,53,103,46,79,41,1,23,142
10200,168,49,72,47,10,56,102,46,80,42,1,23,144
10220,174,54,76,44,10,57,107,54,83,37,1,25,148
10240,178,58,77,43,9,60,109,54,84,40,1,24,153
10260,173,58,71,44,8,54,111,58,79,36,0,24,149
10280,174,58,72,44,7,54,113,58,81,35,0,21,153
10300,178,59,75,44,7,57,114,61,83,34,0,21,157
10320,184,63,75,46,6,58,120,68,80,36,0,26,158
10340,182,63,72,47,5,58,119,68,82,32,0,26,156
10360,180,67,71,42,2,63,115,71,78,31,0,22,158
10380,173,63,70,40,2,60,111,72,71,30,0,21,152
10400,168,58,71,39,3,55,110,68,71,29,0,19,149
10420,173,63,71,39,4,56,113,73,72,28,1,24,148
10440,170,66,65,39,4,55,111,72,73,25,2,23,145
10460,166,61,66,39,4,52,110,65,75,26,2,22,142
10480,174,63,67,44,3,59,112,68,76,30,2,23,149
10500,180,62,72,46,3,57,120,74,77,29,2,23,155
10520,187,58,77,52,4,59,124,74,82,31,2,26,159
10540,188,58,83,47,3,62,123,73,83,32,2,24,162
10560,190,61,85,44,3,57,130,73,80,37,2,22,166
10580,189,60,84,45,3,55,131,72,81,36,2,20,167
10600,199,59,93,47,3,55,141,71,90,38,3,20,176
10620,209,62,94,53,3,53,153,75,95,39,2,20,187
10640,213,63,92,58,3,51,159,78,100,35,2,21,190
10660,214,59,95,60,3,49,162,85,98,31,2,21,191
10680,224,66,98,60,4,50,170,92,97,35,2,21,201
10700,221,66,97,58,5,49,167,89,97,35,2,20,199
10720,223,69,92,62,5,49,169,97,89,37,2,19,202
10740,228,71,95,62,5,49,174,103,89,36,2,21,205
10760,214,68,84,62,6,43,165,98,82,34,2,18,194
10780,207,67,80,60,6,43,158,99,74,34,2,18,187
10800,209,66,80,63,6,45,158,97,77,35,2,19,188
10820,191,60,72,59,5,43,143,88,75,28,2,20,169
10840,182,58,65,59,4,41,137,84,73,25,2,21,159
10860,179,56,62,61,4,41,134,81,72,26,2,20,157
10880,179,56,64,59,4,43,132,80,73,26,2,18,159
10900,171,51,66,54,4,44,123,76,73,22,2,18,151
10920,180,52,69,59,4,45,131,82,76,22,2,19,159
10940,180,52,70,58,4,45,131,79,77,24,2,19,159
10960,195,59,76,60,4,48,143,86,83,26,2,20,173
10980,194,64,73,57,6,47,141,83,85,26,1,19,174
11000,209,71,75,63,6,57,146,88,90,31,1,19,189
11020,212,71,78,63,4,62,146,92,91,29,1,21,190
11040,227,74,89,64,6,64,157,103,95,29,1,24,202
11060,221,70,85,66,7,61,153,98,91,32,1,25,195
11080,210,66,76,68,7,57,146,93,84,33,3,26,181
11100,199,64,69,66,6,56,137,86,82,31,2,23,174
11120,190,62,64,64,5,52,133,78,82,30,2,20,168
11140,185,62,60,63,4,54,127,76,80,29,2,19,164
11160,186,69,58,59,3,55,128,77,80,29,1,22,163
11180,192,74,61,57,3,57,132,79,80,33,1,23,168
11200,189,74,63,52,4,61,124,77,78,34,1,25,163
11220,197,83,60,54,5,63,129,84,81,32,1,25,171
11240,202,76,65,61,5,68,129,87,84,31,1,27,174
11260,208,83,66,59,6,68,134,88,81,39,1,26,181
11280,208,82,67,59,6,70,132,87,81,40,1,25,182
11300,201,77,65,59,5,68,128,82,78,41,1,26,174
11320,196,73,66,57,6,67,123,80,76,40,1,27,168
11340,188,72,60,56,6,63,119,75,74,39,1,22,165
11360,195,76,61,58,6,64,125,81,75,39,1,23,171
11380,193,71,66,56,6,57,130,80,76,37,1,23,169
11400,198,71,72,55,6,58,134,83,79,36,1,24,173
11420,194,64,77,53,5,56,133,80,78,36,1,26,167
11440,202,72,78,52,7,56,139,82,76,44,1,25,176
11460,207,73,84,50,8,55,144,84,79,44,1,23,183
11480,203,71,83,49,9,51,143,82,79,42,1,23,179
11500,200,68,80,52,10,50,140,88,73,39,1,21,178
11520,195,63,80,52,8,51,136,86,70,39,0,22,173
11540,192,60,81,51,9,54,129,86,70,36,0,23,169
11560,185,55,81,49,8,54,123,84,68,33,0,23,162
11580,180,51,79,50,7,54,119,85,63,32,0,24,156
11600,173,49,75,49,7,49,117,83,63,27,0,24,149
11620,175,52,71,52,7,47,121,85,63,27,1,25,149
11640,171,53,71,47,8,46,117,83,60,28,1,24,146
11660,183,56,75,52,8,46,129,83,66,34,1,29,153
11680,182,57,75,50,10,46,126,84,64,34,1,31,150
11700,181,61,70,50,8,46,127,84,65,32,1,34,146
11720,179,60,65,54,7,47,125,82,66,31,1,33,145
